Date,Call_Max_Daily,Put_Max_Daily,equity_open,high_equity,low_equity,close_equity,Max,weekday,spy_direction_lag1,intraday_range_lag1,spy_direction_lag2,day_classification,d1,d2,d3,d4,d5,weekday_encoded
2023-06-07,1.0210325047801145,4.2105263157894735,429.495,429.62,426.11,426.6,4.2105263157894735,Wednesday,1.580000000000041,2.2871000000000095,-1.8899999999999864,very_high,high,high,high,very_high,average,4
2023-06-08,3.5833333333333335,1.125,426.66,429.6,425.82,429.125,3.5833333333333335,Thursday,-2.894999999999982,3.509999999999991,1.580000000000041,high,very_high,high,high,high,very_high,2
2023-06-09,1.8611111111111114,1.9056603773584906,430.66,431.99,428.87,429.89,1.9056603773584906,Friday,2.464999999999975,3.7800000000000296,-2.894999999999982,average,high,very_high,high,high,high,0
2023-06-12,3.9428571428571426,1.1051625239005736,430.63,433.88,430.17,433.79,3.9428571428571426,Monday,-0.7700000000000387,3.1200000000000045,2.464999999999975,high,average,high,very_high,high,high,1
2023-06-13,1.105263157894737,1.6140350877192984,436.62,437.33,434.63,436.66,1.6140350877192984,Tuesday,3.160000000000025,3.7099999999999795,-0.7700000000000387,average,high,average,high,very_high,high,3
2023-06-14,1.8695652173913042,2.1733333333333333,437.2,439.0612,433.59,437.18,2.1733333333333333,Wednesday,0.040000000000020464,2.6999999999999886,3.160000000000025,high,average,high,average,high,very_high,4
2023-06-15,17.454545454545453,1.1106094808126412,437.63,443.9,437.1834,442.6,17.454545454545453,Thursday,-0.01999999999998181,5.47120000000001,0.040000000000020464,very_high,high,average,high,average,high,2
2023-06-16,1.2523809523809524,1.6558441558441557,441.46,443.6078,438.97,439.43,1.6558441558441557,Friday,4.970000000000027,6.716599999999971,-0.01999999999998181,average,very_high,high,average,high,average,0
2023-06-20,1.2,4.096774193548387,437.77,438.37,435.03,437.23,4.096774193548387,Tuesday,-2.0299999999999727,4.63779999999997,4.970000000000027,very_high,average,very_high,high,average,high,3
2023-06-21,1.4502617801047122,1.2424242424242422,435.41,436.99,434.33,434.93,1.4502617801047122,Wednesday,-0.5399999999999636,3.340000000000032,-2.0299999999999727,low,very_high,average,very_high,high,average,4
2023-06-22,2.5172413793103448,1.0522993688007214,434.28,436.62,434.03,436.54,2.5172413793103448,Thursday,-0.4800000000000182,2.660000000000025,-0.5399999999999636,high,low,very_high,average,very_high,high,2
2023-06-23,1.6637168141592922,1.0508474576271185,433.25,435.06,432.47,433.21,1.6637168141592922,Friday,2.2600000000000477,2.590000000000032,-0.4800000000000182,average,high,low,very_high,average,very_high,0
2023-06-26,1.148936170212766,2.977777777777778,434.09,434.61,431.19,431.43,2.977777777777778,Monday,-0.040000000000020464,2.589999999999975,2.2600000000000477,high,average,high,low,very_high,average,1
